subject,violation,linear_interference,congruency,number,structure,feature,false_responses,total_trials,trials_per_construction,trials_per_combination,error_per_construction,error_total,error_per_combination
1,0,0,1,sing,obj,number,0,379,126,16,0.0,0.0,0.0
1,0,1,0,plur,obj,number,6,379,126,16,4.761904761904762,1.58311345646438,37.5
1,1,0,0,sing,obj,number,5,379,126,16,3.968253968253968,1.3192612137203166,31.25
1,1,1,1,plur,pp,number,1,379,125,16,0.8,0.2638522427440633,6.25
1,1,0,0,plur,pp,animacy,1,379,128,16,0.78125,0.2638522427440633,6.25
1,0,1,0,plur,pp,number,1,379,125,16,0.8,0.2638522427440633,6.25
1,1,0,0,sing,pp,animacy,2,379,128,16,1.5625,0.5277044854881267,12.5
1,0,1,0,sing,pp,number,2,379,125,15,1.6,0.5277044854881267,13.333333333333334
1,1,1,1,sing,obj,number,1,379,126,16,0.7936507936507936,0.2638522427440633,6.25
1,0,0,1,plur,pp,number,1,379,125,15,0.8,0.2638522427440633,6.666666666666667
1,1,0,0,plur,pp,number,1,379,125,16,0.8,0.2638522427440633,6.25
1,0,1,0,plur,pp,animacy,2,379,128,16,1.5625,0.5277044854881267,12.5
1,1,1,1,sing,pp,animacy,4,379,128,16,3.125,1.0554089709762533,25.0
1,1,0,0,plur,obj,number,11,379,126,15,8.73015873015873,2.9023746701846966,73.33333333333333
1,0,0,1,sing,pp,number,1,379,125,16,0.8,0.2638522427440633,6.25
1,0,0,1,sing,pp,animacy,0,379,128,16,0.0,0.0,0.0
1,0,1,0,sing,obj,number,1,379,126,16,0.7936507936507936,0.2638522427440633,6.25
1,1,1,1,sing,pp,number,1,379,125,16,0.8,0.2638522427440633,6.25
1,0,1,0,sing,pp,animacy,0,379,128,16,0.0,0.0,0.0
1,1,1,1,plur,pp,animacy,5,379,128,16,3.90625,1.3192612137203166,31.25
1,1,1,1,plur,obj,number,4,379,126,16,3.1746031746031744,1.0554089709762533,25.0
1,1,0,0,sing,pp,number,6,379,125,15,4.8,1.58311345646438,40.0
1,0,0,1,plur,pp,animacy,1,379,128,16,0.78125,0.2638522427440633,6.25
1,0,0,1,plur,obj,number,5,379,126,15,3.968253968253968,1.3192612137203166,33.33333333333333
2,0,0,1,sing,pp,animacy,2,377,127,16,1.574803149606299,0.5305039787798408,12.5
2,1,1,1,plur,pp,animacy,5,377,127,16,3.937007874015748,1.3262599469496021,31.25
2,1,0,0,sing,obj,number,2,377,125,16,1.6,0.5305039787798408,12.5
2,0,0,1,plur,pp,number,4,377,125,14,3.2,1.0610079575596816,28.57142857142857
2,0,1,0,sing,obj,number,4,377,125,16,3.2,1.0610079575596816,25.0
2,0,0,1,sing,obj,number,2,377,125,16,1.6,0.5305039787798408,12.5
2,0,1,0,sing,pp,animacy,2,377,127,16,1.574803149606299,0.5305039787798408,12.5
2,0,0,1,plur,obj,number,4,377,125,15,3.2,1.0610079575596816,26.666666666666668
2,1,0,0,sing,pp,number,6,377,125,16,4.8,1.5915119363395225,37.5
2,0,1,0,plur,pp,animacy,3,377,127,16,2.3622047244094486,0.7957559681697612,18.75
2,0,0,1,plur,pp,animacy,4,377,127,16,3.149606299212598,1.0610079575596816,25.0
2,1,0,0,plur,pp,number,3,377,125,16,2.4,0.7957559681697612,18.75
2,0,1,0,sing,pp,number,5,377,125,16,4.0,1.3262599469496021,31.25
2,1,0,0,sing,pp,animacy,2,377,127,15,1.574803149606299,0.5305039787798408,13.333333333333334
2,1,0,0,plur,pp,animacy,5,377,127,16,3.937007874015748,1.3262599469496021,31.25
2,1,1,1,sing,obj,number,5,377,125,16,4.0,1.3262599469496021,31.25
2,0,0,1,sing,pp,number,2,377,125,15,1.6,0.5305039787798408,13.333333333333334
2,1,1,1,plur,obj,number,0,377,125,16,0.0,0.0,0.0
2,1,1,1,sing,pp,animacy,1,377,127,16,0.7874015748031495,0.2652519893899204,6.25
2,1,0,0,plur,obj,number,5,377,125,15,4.0,1.3262599469496021,33.33333333333333
2,1,1,1,sing,pp,number,3,377,125,16,2.4,0.7957559681697612,18.75
2,0,1,0,plur,pp,number,7,377,125,16,5.6000000000000005,1.8567639257294428,43.75
2,1,1,1,plur,pp,number,4,377,125,16,3.2,1.0610079575596816,25.0
2,0,1,0,plur,obj,number,2,377,125,15,1.6,0.5305039787798408,13.333333333333334
3,0,0,1,plur,obj,number,2,479,159,19,1.257861635220126,0.41753653444676403,10.526315789473683
3,0,1,0,plur,pp,animacy,0,479,160,20,0.0,0.0,0.0
3,1,1,1,plur,obj,number,6,479,159,20,3.7735849056603774,1.2526096033402923,30.0
3,0,1,0,sing,pp,animacy,1,479,160,20,0.625,0.20876826722338201,5.0
3,1,0,0,plur,obj,number,8,479,159,20,5.031446540880504,1.6701461377870561,40.0
3,1,0,0,plur,pp,animacy,0,479,160,20,0.0,0.0,0.0
3,1,1,1,sing,pp,animacy,3,479,160,20,1.875,0.6263048016701461,15.0
3,0,0,1,sing,pp,number,0,479,160,20,0.0,0.0,0.0
3,1,1,1,plur,pp,number,1,479,160,20,0.625,0.20876826722338201,5.0
3,0,1,0,plur,obj,number,4,479,159,20,2.515723270440252,0.8350730688935281,20.0
3,0,1,0,sing,obj,number,3,479,159,20,1.8867924528301887,0.6263048016701461,15.0
3,1,0,0,sing,pp,animacy,0,479,160,20,0.0,0.0,0.0
3,1,1,1,plur,pp,animacy,0,479,160,20,0.0,0.0,0.0
3,0,1,0,sing,pp,number,0,479,160,20,0.0,0.0,0.0
3,1,1,1,sing,obj,number,3,479,159,20,1.8867924528301887,0.6263048016701461,15.0
3,1,0,0,sing,pp,number,2,479,160,20,1.25,0.41753653444676403,10.0
3,1,1,1,sing,pp,number,2,479,160,20,1.25,0.41753653444676403,10.0
3,0,0,1,plur,pp,number,0,479,160,20,0.0,0.0,0.0
3,1,0,0,plur,pp,number,2,479,160,20,1.25,0.41753653444676403,10.0
3,0,0,1,sing,pp,animacy,1,479,160,20,0.625,0.20876826722338201,5.0
3,0,0,1,sing,obj,number,0,479,159,20,0.0,0.0,0.0
3,0,0,1,plur,pp,animacy,1,479,160,20,0.625,0.20876826722338201,5.0
3,1,0,0,sing,obj,number,13,479,159,20,8.176100628930817,2.7139874739039667,65.0
3,0,1,0,plur,pp,number,1,479,160,20,0.625,0.20876826722338201,5.0
4,0,1,0,sing,pp,number,2,430,143,18,1.3986013986013985,0.46511627906976744,11.11111111111111
4,1,1,1,sing,pp,animacy,2,430,144,18,1.3888888888888888,0.46511627906976744,11.11111111111111
4,1,1,1,plur,obj,number,2,430,143,18,1.3986013986013985,0.46511627906976744,11.11111111111111
4,1,0,0,plur,obj,number,4,430,143,17,2.797202797202797,0.9302325581395349,23.52941176470588
4,0,0,1,plur,pp,number,0,430,143,18,0.0,0.0,0.0
4,1,0,0,sing,obj,number,8,430,143,18,5.594405594405594,1.8604651162790697,44.44444444444444
4,0,1,0,sing,pp,animacy,1,430,144,18,0.6944444444444444,0.23255813953488372,5.555555555555555
4,0,0,1,sing,pp,animacy,1,430,144,18,0.6944444444444444,0.23255813953488372,5.555555555555555
4,1,0,0,plur,pp,number,5,430,143,18,3.4965034965034967,1.1627906976744187,27.77777777777778
4,0,0,1,plur,pp,animacy,2,430,144,18,1.3888888888888888,0.46511627906976744,11.11111111111111
4,0,1,0,sing,obj,number,0,430,143,18,0.0,0.0,0.0
4,1,1,1,plur,pp,animacy,1,430,144,18,0.6944444444444444,0.23255813953488372,5.555555555555555
4,1,0,0,sing,pp,animacy,3,430,144,18,2.083333333333333,0.6976744186046512,16.666666666666664
4,0,0,1,plur,obj,number,11,430,143,18,7.6923076923076925,2.558139534883721,61.111111111111114
4,1,0,0,sing,pp,number,4,430,143,17,2.797202797202797,0.9302325581395349,23.52941176470588
4,1,1,1,plur,pp,number,4,430,143,18,2.797202797202797,0.9302325581395349,22.22222222222222
4,0,0,1,sing,obj,number,0,430,143,18,0.0,0.0,0.0
4,1,1,1,sing,pp,number,0,430,143,18,0.0,0.0,0.0
4,0,1,0,plur,pp,animacy,0,430,144,18,0.0,0.0,0.0
4,1,1,1,sing,obj,number,1,430,143,18,0.6993006993006993,0.23255813953488372,5.555555555555555
4,0,0,1,sing,pp,number,0,430,143,18,0.0,0.0,0.0
4,0,1,0,plur,pp,number,2,430,143,18,1.3986013986013985,0.46511627906976744,11.11111111111111
4,0,1,0,plur,obj,number,2,430,143,18,1.3986013986013985,0.46511627906976744,11.11111111111111
4,1,0,0,plur,pp,animacy,1,430,144,18,0.6944444444444444,0.23255813953488372,5.555555555555555
5,0,1,0,plur,obj,number,5,478,158,20,3.1645569620253164,1.0460251046025104,25.0
5,0,0,1,plur,obj,number,5,478,158,19,3.1645569620253164,1.0460251046025104,26.31578947368421
5,1,1,1,plur,obj,number,4,478,158,20,2.5316455696202533,0.8368200836820083,20.0
5,0,0,1,plur,pp,number,0,478,160,20,0.0,0.0,0.0
5,1,0,0,plur,obj,number,13,478,158,20,8.227848101265822,2.7196652719665275,65.0
5,0,1,0,sing,obj,number,1,478,158,19,0.6329113924050633,0.20920502092050208,5.263157894736842
5,1,1,1,sing,obj,number,3,478,158,20,1.89873417721519,0.6276150627615062,15.0
5,1,0,0,sing,obj,number,6,478,158,20,3.79746835443038,1.2552301255230125,30.0
5,1,0,0,sing,pp,animacy,5,478,160,20,3.125,1.0460251046025104,25.0
5,0,1,0,sing,pp,number,2,478,160,20,1.25,0.41841004184100417,10.0
5,0,1,0,sing,pp,animacy,1,478,160,20,0.625,0.20920502092050208,5.0
5,0,0,1,sing,pp,animacy,1,478,160,20,0.625,0.20920502092050208,5.0
5,0,1,0,plur,pp,animacy,0,478,160,20,0.0,0.0,0.0
5,1,0,0,plur,pp,animacy,8,478,160,20,5.0,1.6736401673640167,40.0
5,1,1,1,sing,pp,number,11,478,160,20,6.875000000000001,2.301255230125523,55.00000000000001
5,1,1,1,sing,pp,animacy,6,478,160,20,3.75,1.2552301255230125,30.0
5,1,0,0,plur,pp,number,5,478,160,20,3.125,1.0460251046025104,25.0
5,1,1,1,plur,pp,number,5,478,160,20,3.125,1.0460251046025104,25.0
5,1,1,1,plur,pp,animacy,7,478,160,20,4.375,1.4644351464435146,35.0
5,0,0,1,sing,pp,number,1,478,160,20,0.625,0.20920502092050208,5.0
5,1,0,0,sing,pp,number,14,478,160,20,8.75,2.928870292887029,70.0
5,0,1,0,plur,pp,number,0,478,160,20,0.0,0.0,0.0
5,0,0,1,plur,pp,animacy,1,478,160,20,0.625,0.20920502092050208,5.0
5,0,0,1,sing,obj,number,1,478,158,20,0.6329113924050633,0.20920502092050208,5.0
6,1,1,1,sing,pp,animacy,0,480,160,20,0.0,0.0,0.0
6,1,0,0,sing,obj,number,2,480,160,20,1.25,0.4166666666666667,10.0
6,1,1,1,sing,pp,number,1,480,160,20,0.625,0.20833333333333334,5.0
6,1,1,1,plur,pp,animacy,3,480,160,20,1.875,0.625,15.0
6,0,1,0,sing,pp,animacy,0,480,160,20,0.0,0.0,0.0
6,0,0,1,plur,pp,animacy,0,480,160,20,0.0,0.0,0.0
6,1,0,0,sing,pp,animacy,3,480,160,20,1.875,0.625,15.0
6,1,0,0,plur,obj,number,2,480,160,20,1.25,0.4166666666666667,10.0
6,0,0,1,sing,obj,number,0,480,160,20,0.0,0.0,0.0
6,1,0,0,plur,pp,animacy,2,480,160,20,1.25,0.4166666666666667,10.0
6,0,1,0,sing,pp,number,3,480,160,20,1.875,0.625,15.0
6,0,1,0,plur,pp,number,1,480,160,20,0.625,0.20833333333333334,5.0
6,1,1,1,plur,obj,number,1,480,160,20,0.625,0.20833333333333334,5.0
6,1,1,1,sing,obj,number,0,480,160,20,0.0,0.0,0.0
6,0,1,0,plur,obj,number,5,480,160,20,3.125,1.0416666666666665,25.0
6,1,0,0,plur,pp,number,7,480,160,20,4.375,1.4583333333333333,35.0
6,0,0,1,sing,pp,animacy,1,480,160,20,0.625,0.20833333333333334,5.0
6,0,1,0,plur,pp,animacy,0,480,160,20,0.0,0.0,0.0
6,0,0,1,plur,obj,number,3,480,160,20,1.875,0.625,15.0
6,0,1,0,sing,obj,number,0,480,160,20,0.0,0.0,0.0
6,0,0,1,plur,pp,number,4,480,160,20,2.5,0.8333333333333334,20.0
6,1,1,1,plur,pp,number,3,480,160,20,1.875,0.625,15.0
6,1,0,0,sing,pp,number,6,480,160,20,3.75,1.25,30.0
6,0,0,1,sing,pp,number,1,480,160,20,0.625,0.20833333333333334,5.0
7,1,0,0,sing,pp,animacy,6,468,159,20,3.7735849056603774,1.282051282051282,30.0
7,1,1,1,sing,obj,number,4,468,153,19,2.6143790849673203,0.8547008547008548,21.052631578947366
7,1,0,0,sing,pp,number,13,468,156,20,8.333333333333332,2.7777777777777777,65.0
7,1,1,1,sing,pp,number,4,468,156,20,2.564102564102564,0.8547008547008548,20.0
7,1,0,0,plur,obj,number,7,468,153,20,4.57516339869281,1.4957264957264957,35.0
7,1,0,0,plur,pp,number,12,468,156,19,7.6923076923076925,2.564102564102564,63.1578947368421
7,1,0,0,plur,pp,animacy,6,468,159,20,3.7735849056603774,1.282051282051282,30.0
7,0,0,1,sing,obj,number,0,468,153,20,0.0,0.0,0.0
7,0,1,0,plur,obj,number,7,468,153,20,4.57516339869281,1.4957264957264957,35.0
7,0,0,1,plur,pp,animacy,4,468,159,19,2.515723270440252,0.8547008547008548,21.052631578947366
7,0,1,0,sing,obj,number,3,468,153,20,1.9607843137254901,0.641025641025641,15.0
7,0,0,1,plur,obj,number,5,468,153,17,3.2679738562091507,1.0683760683760684,29.411764705882355
7,1,1,1,plur,pp,animacy,3,468,159,20,1.8867924528301887,0.641025641025641,15.0
7,0,1,0,plur,pp,number,2,468,156,19,1.282051282051282,0.4273504273504274,10.526315789473683
7,1,1,1,plur,pp,number,9,468,156,19,5.769230769230769,1.9230769230769231,47.368421052631575
7,0,0,1,sing,pp,number,1,468,156,20,0.641025641025641,0.2136752136752137,5.0
7,1,1,1,plur,obj,number,11,468,153,19,7.18954248366013,2.3504273504273505,57.89473684210527
7,0,1,0,sing,pp,animacy,2,468,159,20,1.257861635220126,0.4273504273504274,10.0
7,1,1,1,sing,pp,animacy,4,468,159,20,2.515723270440252,0.8547008547008548,20.0
7,1,0,0,sing,obj,number,13,468,153,18,8.49673202614379,2.7777777777777777,72.22222222222221
7,0,0,1,plur,pp,number,2,468,156,20,1.282051282051282,0.4273504273504274,10.0
7,0,1,0,plur,pp,animacy,2,468,159,20,1.257861635220126,0.4273504273504274,10.0
7,0,0,1,sing,pp,animacy,1,468,159,20,0.628930817610063,0.2136752136752137,5.0
7,0,1,0,sing,pp,number,0,468,156,19,0.0,0.0,0.0
8,0,0,1,plur,obj,number,2,473,157,19,1.2738853503184715,0.42283298097251587,10.526315789473683
8,0,1,0,plur,pp,number,1,473,157,20,0.6369426751592357,0.21141649048625794,5.0
8,1,0,0,plur,pp,animacy,5,473,159,20,3.1446540880503147,1.0570824524312896,25.0
8,1,1,1,sing,obj,number,1,473,157,20,0.6369426751592357,0.21141649048625794,5.0
8,1,0,0,plur,obj,number,1,473,157,19,0.6369426751592357,0.21141649048625794,5.263157894736842
8,0,1,0,sing,pp,number,0,473,157,20,0.0,0.0,0.0
8,1,1,1,plur,pp,number,6,473,157,19,3.821656050955414,1.2684989429175475,31.57894736842105
8,0,0,1,plur,pp,number,0,473,157,20,0.0,0.0,0.0
8,1,1,1,plur,pp,animacy,0,473,159,20,0.0,0.0,0.0
8,1,1,1,sing,pp,number,3,473,157,20,1.910828025477707,0.6342494714587738,15.0
8,1,0,0,plur,pp,number,2,473,157,20,1.2738853503184715,0.42283298097251587,10.0
8,0,1,0,plur,obj,number,6,473,157,19,3.821656050955414,1.2684989429175475,31.57894736842105
8,0,0,1,plur,pp,animacy,0,473,159,20,0.0,0.0,0.0
8,0,0,1,sing,pp,animacy,0,473,159,20,0.0,0.0,0.0
8,1,1,1,sing,pp,animacy,6,473,159,20,3.7735849056603774,1.2684989429175475,30.0
8,0,1,0,plur,pp,animacy,0,473,159,20,0.0,0.0,0.0
8,0,1,0,sing,pp,animacy,0,473,159,20,0.0,0.0,0.0
8,1,0,0,sing,obj,number,0,473,157,20,0.0,0.0,0.0
8,1,0,0,sing,pp,number,4,473,157,19,2.547770700636943,0.8456659619450317,21.052631578947366
8,0,1,0,sing,obj,number,1,473,157,20,0.6369426751592357,0.21141649048625794,5.0
8,0,0,1,sing,obj,number,0,473,157,20,0.0,0.0,0.0
8,0,0,1,sing,pp,number,0,473,157,19,0.0,0.0,0.0
8,1,0,0,sing,pp,animacy,3,473,159,19,1.8867924528301887,0.6342494714587738,15.789473684210526
8,1,1,1,plur,obj,number,1,473,157,20,0.6369426751592357,0.21141649048625794,5.0
9,0,1,0,sing,pp,animacy,1,479,160,20,0.625,0.20876826722338201,5.0
9,1,1,1,plur,pp,animacy,0,479,160,20,0.0,0.0,0.0
9,1,1,1,sing,pp,animacy,1,479,160,20,0.625,0.20876826722338201,5.0
9,1,0,0,sing,pp,animacy,0,479,160,20,0.0,0.0,0.0
9,1,1,1,plur,pp,number,1,479,160,20,0.625,0.20876826722338201,5.0
9,0,1,0,plur,pp,number,1,479,160,20,0.625,0.20876826722338201,5.0
9,1,0,0,plur,pp,animacy,1,479,160,20,0.625,0.20876826722338201,5.0
9,0,0,1,plur,pp,number,0,479,160,20,0.0,0.0,0.0
9,1,0,0,sing,obj,number,10,479,159,19,6.289308176100629,2.0876826722338206,52.63157894736842
9,0,1,0,sing,pp,number,1,479,160,20,0.625,0.20876826722338201,5.0
9,1,0,0,sing,pp,number,0,479,160,20,0.0,0.0,0.0
9,0,1,0,plur,pp,animacy,0,479,160,20,0.0,0.0,0.0
9,0,1,0,sing,obj,number,0,479,159,20,0.0,0.0,0.0
9,1,0,0,plur,obj,number,6,479,159,20,3.7735849056603774,1.2526096033402923,30.0
9,1,1,1,sing,obj,number,0,479,159,20,0.0,0.0,0.0
9,0,1,0,plur,obj,number,3,479,159,20,1.8867924528301887,0.6263048016701461,15.0
9,1,1,1,plur,obj,number,6,479,159,20,3.7735849056603774,1.2526096033402923,30.0
9,0,0,1,plur,obj,number,3,479,159,20,1.8867924528301887,0.6263048016701461,15.0
9,0,0,1,plur,pp,animacy,1,479,160,20,0.625,0.20876826722338201,5.0
9,0,0,1,sing,pp,animacy,0,479,160,20,0.0,0.0,0.0
9,0,0,1,sing,obj,number,1,479,159,20,0.628930817610063,0.20876826722338201,5.0
9,1,0,0,plur,pp,number,2,479,160,20,1.25,0.41753653444676403,10.0
9,0,0,1,sing,pp,number,0,479,160,20,0.0,0.0,0.0
9,1,1,1,sing,pp,number,1,479,160,20,0.625,0.20876826722338201,5.0
10,0,0,1,plur,pp,animacy,5,473,159,20,3.1446540880503147,1.0570824524312896,25.0
10,1,0,0,plur,obj,number,6,473,156,19,3.8461538461538463,1.2684989429175475,31.57894736842105
10,1,0,0,sing,pp,number,3,473,158,19,1.89873417721519,0.6342494714587738,15.789473684210526
10,1,1,1,plur,pp,animacy,2,473,159,20,1.257861635220126,0.42283298097251587,10.0
10,0,0,1,sing,obj,number,3,473,156,19,1.9230769230769231,0.6342494714587738,15.789473684210526
10,1,0,0,sing,obj,number,4,473,156,20,2.564102564102564,0.8456659619450317,20.0
10,1,0,0,plur,pp,number,5,473,158,20,3.1645569620253164,1.0570824524312896,25.0
10,1,0,0,sing,pp,animacy,1,473,159,20,0.628930817610063,0.21141649048625794,5.0
10,1,1,1,plur,pp,number,8,473,158,20,5.063291139240507,1.6913319238900635,40.0
10,0,0,1,plur,obj,number,3,473,156,18,1.9230769230769231,0.6342494714587738,16.666666666666664
10,1,0,0,plur,pp,animacy,6,473,159,20,3.7735849056603774,1.2684989429175475,30.0
10,0,1,0,sing,pp,animacy,4,473,159,19,2.515723270440252,0.8456659619450317,21.052631578947366
10,0,1,0,plur,pp,animacy,0,473,159,20,0.0,0.0,0.0
10,1,1,1,sing,pp,number,6,473,158,20,3.79746835443038,1.2684989429175475,30.0
10,0,1,0,sing,obj,number,5,473,156,20,3.205128205128205,1.0570824524312896,25.0
10,0,0,1,plur,pp,number,6,473,158,20,3.79746835443038,1.2684989429175475,30.0
10,0,1,0,plur,obj,number,5,473,156,20,3.205128205128205,1.0570824524312896,25.0
10,1,1,1,sing,pp,animacy,3,473,159,20,1.8867924528301887,0.6342494714587738,15.0
10,1,1,1,plur,obj,number,5,473,156,20,3.205128205128205,1.0570824524312896,25.0
10,1,1,1,sing,obj,number,7,473,156,20,4.487179487179487,1.4799154334038054,35.0
10,0,1,0,plur,pp,number,3,473,158,19,1.89873417721519,0.6342494714587738,15.789473684210526
10,0,0,1,sing,pp,number,1,473,158,20,0.6329113924050633,0.21141649048625794,5.0
10,0,1,0,sing,pp,number,2,473,158,20,1.2658227848101267,0.42283298097251587,10.0
10,0,0,1,sing,pp,animacy,5,473,159,20,3.1446540880503147,1.0570824524312896,25.0
11,0,0,1,plur,pp,animacy,1,477,160,20,0.625,0.20964360587002098,5.0
11,0,1,0,sing,pp,number,1,477,160,20,0.625,0.20964360587002098,5.0
11,0,0,1,plur,obj,number,3,477,157,19,1.910828025477707,0.628930817610063,15.789473684210526
11,0,1,0,sing,obj,number,0,477,157,20,0.0,0.0,0.0
11,1,1,1,plur,obj,number,1,477,157,20,0.6369426751592357,0.20964360587002098,5.0
11,0,1,0,sing,pp,animacy,1,477,160,20,0.625,0.20964360587002098,5.0
11,1,1,1,plur,pp,number,0,477,160,20,0.0,0.0,0.0
11,0,0,1,sing,obj,number,0,477,157,20,0.0,0.0,0.0
11,0,0,1,sing,pp,number,0,477,160,20,0.0,0.0,0.0
11,1,1,1,sing,pp,number,0,477,160,20,0.0,0.0,0.0
11,1,0,0,plur,pp,number,0,477,160,20,0.0,0.0,0.0
11,1,0,0,sing,obj,number,0,477,157,20,0.0,0.0,0.0
11,1,0,0,plur,pp,animacy,0,477,160,20,0.0,0.0,0.0
11,0,1,0,plur,pp,animacy,0,477,160,20,0.0,0.0,0.0
11,0,1,0,plur,obj,number,3,477,157,20,1.910828025477707,0.628930817610063,15.0
11,0,0,1,sing,pp,animacy,0,477,160,20,0.0,0.0,0.0
11,0,0,1,plur,pp,number,0,477,160,20,0.0,0.0,0.0
11,1,0,0,plur,obj,number,2,477,157,18,1.2738853503184715,0.41928721174004197,11.11111111111111
11,1,0,0,sing,pp,number,1,477,160,20,0.625,0.20964360587002098,5.0
11,1,1,1,sing,pp,animacy,1,477,160,20,0.625,0.20964360587002098,5.0
11,1,1,1,plur,pp,animacy,0,477,160,20,0.0,0.0,0.0
11,0,1,0,plur,pp,number,0,477,160,20,0.0,0.0,0.0
